Date_reported,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-25,2020-04-25,IN,India,SEARO,1429,24506,57,775
2020-04-26,2020-04-26,IN,India,SEARO,1990,26496,49,824
2020-04-27,2020-04-27,IN,India,SEARO,1396,27892,48,872
2020-04-28,2020-04-28,IN,India,SEARO,1543,29435,62,934
2020-04-29,2020-04-29,IN,India,SEARO,1897,31332,73,1007
2020-04-30,2020-04-30,IN,India,SEARO,1718,33050,67,1074
2020-05-01,2020-05-01,IN,India,SEARO,1993,35043,73,1147
2020-05-02,2020-05-02,IN,India,SEARO,2293,37336,71,1218
2020-05-03,2020-05-03,IN,India,SEARO,2644,39980,83,1301
2020-05-04,2020-05-04,IN,India,SEARO,2553,42533,72,1373
2020-05-05,2020-05-05,IN,India,SEARO,3900,46433,195,1568
2020-05-06,2020-05-06,IN,India,SEARO,2958,49391,126,1694
2020-05-07,2020-05-07,IN,India,SEARO,3561,52952,89,1783
2020-05-08,2020-05-08,IN,India,SEARO,3390,56342,103,1886
2020-05-09,2020-05-09,IN,India,SEARO,3320,59662,95,1981
2020-05-10,2020-05-10,IN,India,SEARO,3277,62939,128,2109
2020-05-11,2020-05-11,IN,India,SEARO,4213,67152,97,2206
2020-05-12,2020-05-12,IN,India,SEARO,3604,70756,87,2293
2020-05-13,2020-05-13,IN,India,SEARO,3525,74281,122,2415
2020-05-14,2020-05-14,IN,India,SEARO,3722,78003,134,2549
2020-05-15,2020-05-15,IN,India,SEARO,3967,81970,100,2649
2020-05-16,2020-05-16,IN,India,SEARO,3970,85940,103,2752
2020-05-17,2020-05-17,IN,India,SEARO,4987,90927,120,2872
2020-05-18,2020-05-18,IN,India,SEARO,5242,96169,157,3029
2020-05-19,2020-05-19,IN,India,SEARO,4970,101139,134,3163
2020-05-20,2020-05-20,IN,India,SEARO,5611,106750,140,3303
2020-05-21,2020-05-21,IN,India,SEARO,5609,112359,132,3435
2020-05-22,2020-05-22,IN,India,SEARO,6088,118447,148,3583
2020-05-23,2020-05-23,IN,India,SEARO,6654,125101,137,3720
2020-05-24,2020-05-24,IN,India,SEARO,6767,131868,147,3867
2020-05-25,2020-05-25,IN,India,SEARO,6977,138845,154,4021
2020-05-26,2020-05-26,IN,India,SEARO,6535,145380,146,4167
2020-05-27,2020-05-27,IN,India,SEARO,6387,151767,170,4337
2020-05-28,2020-05-28,IN,India,SEARO,6566,158333,194,4531
2020-05-29,2020-05-29,IN,India,SEARO,7466,165799,175,4706
2020-05-30,2020-05-30,IN,India,SEARO,7964,173763,265,4971
2020-05-31,2020-05-31,IN,India,SEARO,8380,182143,193,5164
2020-06-01,2020-06-01,IN,India,SEARO,8392,190535,230,5394
2020-06-02,2020-06-02,IN,India,SEARO,8171,198706,204,5598
2020-06-03,2020-06-03,IN,India,SEARO,8909,207615,217,5815
2020-06-04,2020-06-04,IN,India,SEARO,9304,216919,260,6075
2020-06-05,2020-06-05,IN,India,SEARO,9851,226770,273,6348
2020-06-06,2020-06-06,IN,India,SEARO,9887,236657,294,6642
2020-06-07,2020-06-07,IN,India,SEARO,9971,246628,287,6929
2020-06-08,2020-06-08,IN,India,SEARO,9983,256611,206,7135
2020-06-09,2020-06-09,IN,India,SEARO,9987,266598,331,7466
2020-06-10,2020-06-10,IN,India,SEARO,9985,276583,279,7745
2020-06-11,2020-06-11,IN,India,SEARO,9996,286579,357,8102
2020-06-12,2020-06-12,IN,India,SEARO,10956,297535,396,8498
2020-06-13,2020-06-13,IN,India,SEARO,11458,308993,386,8884
2020-06-14,2020-06-14,IN,India,SEARO,11929,320922,311,9195
2020-06-15,2020-06-15,IN,India,SEARO,11502,332424,325,9520
2020-06-16,2020-06-16,IN,India,SEARO,10667,343091,380,9900
2020-06-17,2020-06-17,IN,India,SEARO,10974,354065,2003,11903
2020-06-18,2020-06-18,IN,India,SEARO,12881,366946,334,12237
2020-06-19,2020-06-19,IN,India,SEARO,13586,380532,336,12573
2020-06-20,2020-06-20,IN,India,SEARO,14516,395048,375,12948
2020-06-21,2020-06-21,IN,India,SEARO,15413,410461,306,13254
2020-06-22,2020-06-22,IN,India,SEARO,14821,425282,445,13699
2020-06-23,2020-06-23,IN,India,SEARO,14933,440215,312,14011
2020-06-24,2020-06-24,IN,India,SEARO,15968,456183,465,14476
2020-06-25,2020-06-25,IN,India,SEARO,16922,473105,418,14894
2020-06-26,2020-06-26,IN,India,SEARO,17296,490401,407,15301
2020-06-27,2020-06-27,IN,India,SEARO,18552,508953,384,15685
2020-06-28,2020-06-28,IN,India,SEARO,19906,528859,410,16095
2020-06-29,2020-06-29,IN,India,SEARO,19459,548318,380,16475
2020-06-30,2020-06-30,IN,India,SEARO,18522,566840,418,16893
2020-07-01,2020-07-01,IN,India,SEARO,18653,585493,507,17400
2020-07-02,2020-07-02,IN,India,SEARO,19148,604641,434,17834
2020-07-03,2020-07-03,IN,India,SEARO,20903,625544,379,18213
2020-07-04,2020-07-04,IN,India,SEARO,22771,648315,442,18655
2020-07-05,2020-07-05,IN,India,SEARO,24850,673165,613,19268
2020-07-06,2020-07-06,IN,India,SEARO,24248,697413,425,19693
2020-07-07,2020-07-07,IN,India,SEARO,22252,719665,467,20160
2020-07-08,2020-07-08,IN,India,SEARO,22752,742417,482,20642
2020-07-09,2020-07-09,IN,India,SEARO,24879,767296,487,21129
2020-07-10,2020-07-10,IN,India,SEARO,26506,793802,475,21604
2020-07-11,2020-07-11,IN,India,SEARO,27114,820916,519,22123
2020-07-12,2020-07-12,IN,India,SEARO,28637,849553,551,22674
2020-07-13,2020-07-13,IN,India,SEARO,28701,878254,500,23174
2020-07-14,2020-07-14,IN,India,SEARO,28498,906752,553,23727
2020-07-15,2020-07-15,IN,India,SEARO,29429,936181,582,24309
2020-07-16,2020-07-16,IN,India,SEARO,32695,968876,606,24915
2020-07-17,2020-07-17,IN,India,SEARO,34956,1003832,687,25602
2020-07-18,2020-07-18,IN,India,SEARO,34884,1038716,671,26273
2020-07-19,2020-07-19,IN,India,SEARO,38902,1077618,543,26816
2020-07-20,2020-07-20,IN,India,SEARO,40425,1118043,681,27497
2020-07-21,2020-07-21,IN,India,SEARO,37148,1155191,587,28084
2020-07-22,2020-07-22,IN,India,SEARO,37724,1192915,648,28732
2020-07-23,2020-07-23,IN,India,SEARO,45720,1238635,1129,29861
2020-07-24,2020-07-24,IN,India,SEARO,49310,1287945,740,30601
2020-07-25,2020-07-25,IN,India,SEARO,48916,1336861,757,31358
2020-07-26,2020-07-26,IN,India,SEARO,48661,1385522,705,32063
2020-07-27,2020-07-27,IN,India,SEARO,49931,1435453,708,32771
2020-07-28,2020-07-28,IN,India,SEARO,47703,1483156,654,33425
2020-07-29,2020-07-29,IN,India,SEARO,48513,1531669,768,34193
2020-07-30,2020-07-30,IN,India,SEARO,52123,1583792,775,34968
2020-07-31,2020-07-31,IN,India,SEARO,55078,1638870,779,35747
2020-08-01,2020-08-01,IN,India,SEARO,57118,1695988,764,36511
2020-08-02,2020-08-02,IN,India,SEARO,54735,1750723,853,37364
2020-08-03,2020-08-03,IN,India,SEARO,52972,1803695,771,38135
2020-08-04,2020-08-04,IN,India,SEARO,52050,1855745,803,38938
2020-08-05,2020-08-05,IN,India,SEARO,52509,1908254,857,39795
2020-08-06,2020-08-06,IN,India,SEARO,56282,1964536,904,40699
2020-08-07,2020-08-07,IN,India,SEARO,62538,2027074,886,41585
2020-08-08,2020-08-08,IN,India,SEARO,61537,2088611,933,42518
2020-08-09,2020-08-09,IN,India,SEARO,64399,2153010,861,43379
2020-08-10,2020-08-10,IN,India,SEARO,62064,2215074,1007,44386
2020-08-11,2020-08-11,IN,India,SEARO,53601,2268675,871,45257
2020-08-12,2020-08-12,IN,India,SEARO,60963,2329638,834,46091
2020-08-13,2020-08-13,IN,India,SEARO,66999,2396637,942,47033
2020-08-14,2020-08-14,IN,India,SEARO,64553,2461190,1007,48040
2020-08-15,2020-08-15,IN,India,SEARO,65002,2526192,996,49036
2020-08-16,2020-08-16,IN,India,SEARO,63490,2589682,944,49980
2020-08-17,2020-08-17,IN,India,SEARO,57981,2647663,941,50921
2020-08-18,2020-08-18,IN,India,SEARO,55079,2702742,876,51797
2020-08-19,2020-08-19,IN,India,SEARO,64531,2767273,1092,52889
2020-08-20,2020-08-20,IN,India,SEARO,69652,2836925,977,53866
2020-08-21,2020-08-21,IN,India,SEARO,68898,2905823,983,54849
2020-08-22,2020-08-22,IN,India,SEARO,69878,2975701,945,55794
2020-08-23,2020-08-23,IN,India,SEARO,69239,3044940,912,56706
2020-08-24,2020-08-24,IN,India,SEARO,61408,3106348,836,57542
2020-08-25,2020-08-25,IN,India,SEARO,60975,3167323,848,58390
2020-08-26,2020-08-26,IN,India,SEARO,67151,3234474,1059,59449
2020-08-27,2020-08-27,IN,India,SEARO,75760,3310234,1023,60472
2020-08-28,2020-08-28,IN,India,SEARO,77266,3387500,1057,61529
2020-08-29,2020-08-29,IN,India,SEARO,76472,3463972,1021,62550
2020-08-30,2020-08-30,IN,India,SEARO,78761,3542733,948,63498
2020-08-31,2020-08-31,IN,India,SEARO,78512,3621245,971,64469
2020-09-01,2020-09-01,IN,India,SEARO,69921,3691166,819,65288
